p,d,q,P,D,Q,s,aic,bic
2,1,2,0,1,0,4,104.53685771749332,119.91272679366244
1,0,2,0,1,0,4,104.55423051453529,116.87984797447314
1,0,1,0,1,0,4,104.63102317924726,113.89381218494441
1,1,2,0,1,0,4,106.94074718567217,119.24144244660746
0,1,0,1,0,1,4,110.74010552248994,120.00289452818708
0,1,0,0,0,1,4,111.66299441027611,117.83818708074088
0,1,0,1,0,0,4,114.97030869249352,121.15780909410704
2,1,0,1,1,0,4,115.52974867412804,127.75473189552127
0,0,2,0,1,0,4,119.86172552182765,129.10593861678103
0,0,0,0,1,0,4,121.6210354074091,124.71478560821586
0,1,0,0,0,0,4,123.03615622921426,126.1481440175708
1,0,0,0,1,0,4,123.59303048007557,129.7805308816891
0,0,1,0,1,0,4,123.82086426828313,129.9960569387479
0,1,2,0,1,0,4,124.04186313782645,133.26738458352793
2,0,0,0,1,0,4,125.77162394726113,135.0344129529583
0,1,1,0,1,0,4,127.11623336983963,133.27904209980855
0,1,0,0,1,1,4,127.24506372528843,133.37025379134238
1,1,1,0,1,0,4,129.09727635970827,138.34148945466166
0,1,0,1,1,1,4,129.10627700363585,138.29406210271677
1,1,0,1,1,0,4,133.44784442696215,142.63562952604306
2,1,1,0,1,0,4,150.5150421998144,162.84065965975225
2,1,0,0,1,0,4,172.50230441836834,181.74651751332172
0,1,0,1,1,0,4,176.49832727251015,182.63613567695063
1,1,0,0,1,0,4,192.0807786158742,198.255971286339
0,1,0,0,1,0,4,236.37881388816183,239.4664102233942
